name,smiles,inchi
Dimethyl DINP,CCCC(C)C(C)CCOC(=O)c1ccccc1C(=O)OCCC(C)C(C)CCC,"InChI=1S/C26H42O4/c1-7-11-19(3)21(5)15-17-29-25(27)23-13-9-10-14-24(23)26(28)30-18-16-22(6)20(4)12-8-2/h9-10,13-14,19-22H,7-8,11-12,15-18H2,1-6H3"
DIDP,CCCC(C)CC(C)CCOC(=O)c1ccccc1C(=O)OCCC(C)CC(C)CCC,"InChI=1S/C28H46O4/c1-7-11-21(3)19-23(5)15-17-31-27(29)25-13-9-10-14-26(25)28(30)32-18-16-24(6)20-22(4)12-8-2/h9-10,13-14,21-24H,7-8,11-12,15-20H2,1-6H3"
Dimethyl MINP,CCCC(C)C(C)CCOC(=O)c1ccccc1C(=O)OC(O)=O,"InChI=1S/C18H24O6/c1-4-7-12(2)13(3)10-11-23-16(19)14-8-5-6-9-15(14)17(20)24-18(21)22/h5-6,8-9,12-13H,4,7,10-11H2,1-3H3,(H,21,22)"
MIDP,CCCC(C)CC(C)CCOC(=O)c1ccccc1C(=O)OC(O)=O,"InChI=1S/C19H26O6/c1-4-7-13(2)12-14(3)10-11-24-17(20)15-8-5-6-9-16(15)18(21)25-19(22)23/h5-6,8-9,13-14H,4,7,10-12H2,1-3H3,(H,22,23)"
MHINP,CC(O)CC(C)C(C)CCOC(=O)c1ccccc1C(=O)OC(O)=O,"InChI=1S/C18H24O7/c1-11(12(2)10-13(3)19)8-9-24-16(20)14-6-4-5-7-15(14)17(21)25-18(22)23/h4-7,11-13,19H,8-10H2,1-3H3,(H,22,23)"
MHIDP,CC(O)CC(C)CC(C)CCOC(=O)c1ccccc1C(=O)OC(O)=O,"InChI=1S/C19H26O7/c1-12(10-13(2)11-14(3)20)8-9-25-17(21)15-6-4-5-7-16(15)18(22)26-19(23)24/h4-7,12-14,20H,8-11H2,1-3H3,(H,23,24)"
MOINP,CC(=O)CC(C)C(C)CCOC(=O)c1ccccc1C(=O)OC(O)=O,"InChI=1S/C18H22O7/c1-11(12(2)10-13(3)19)8-9-24-16(20)14-6-4-5-7-15(14)17(21)25-18(22)23/h4-7,11-12H,8-10H2,1-3H3,(H,22,23)"
MOIDP,CC(=O)CC(C)CC(C)CCOC(=O)c1ccccc1C(=O)OC(O)=O,"InChI=1S/C19H24O7/c1-12(10-13(2)11-14(3)20)8-9-25-17(21)15-6-4-5-7-16(15)18(22)26-19(23)24/h4-7,12-13H,8-11H2,1-3H3,(H,23,24)"
MCIOP,O=C(O)CCC(C)C(C)CCOC(=O)c1ccccc1C(=O)OC(O)=O,"InChI=1S/C18H22O8/c1-11(7-8-15(19)20)12(2)9-10-25-16(21)13-5-3-4-6-14(13)17(22)26-18(23)24/h3-6,11-12H,7-10H2,1-2H3,(H,19,20)(H,23,24)"
MCINP,CC(CCOC(=O)c1ccccc1C(=O)OC(O)=O)CC(C)CC(O)=O,"InChI=1S/C18H22O8/c1-11(9-12(2)10-15(19)20)7-8-25-16(21)13-5-3-4-6-14(13)17(22)26-18(23)24/h3-6,11-12H,7-10H2,1-2H3,(H,19,20)(H,23,24)"
DEHP,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,"InChI=1S/C24H38O4/c1-5-9-13-19(7-3)17-27-23(25)21-15-11-12-16-22(21)24(26)28-18-20(8-4)14-10-6-2/h11-12,15-16,19-20H,5-10,13-14,17-18H2,1-4H3"
DBP,CCCCOC(=O)c1ccccc1C(=O)OCCCC,"InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3"
DIBP,CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C,"InChI=1S/C16H22O4/c1-11(2)9-19-15(17)13-7-5-6-8-14(13)16(18)20-10-12(3)4/h5-8,11-12H,9-10H2,1-4H3"
DPeP,CCCCCOC(=O)c1ccccc1C(=O)OCCCCC,"InChI=1S/C18H26O4/c1-3-5-9-13-21-17(19)15-11-7-8-12-16(15)18(20)22-14-10-6-4-2/h7-8,11-12H,3-6,9-10,13-14H2,1-2H3"
DnHP,CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,"InChI=1S/C20H30O4/c1-3-5-7-11-15-23-19(21)17-13-9-10-14-18(17)20(22)24-16-12-8-6-4-2/h9-10,13-14H,3-8,11-12,15-16H2,1-2H3"
DIUP,CC(C)CCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCCC(C)C,"InChI=1S/C30H50O4/c1-25(2)19-13-9-5-7-11-17-23-33-29(31)27-21-15-16-22-28(27)30(32)34-24-18-12-8-6-10-14-20-26(3)4/h15-16,21-22,25-26H,5-14,17-20,23-24H2,1-4H3"
DTDP,CCCCCCCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCCCCCCC,"InChI=1S/C34H58O4/c1-3-5-7-9-11-13-15-17-19-21-25-29-37-33(35)31-27-23-24-28-32(31)34(36)38-30-26-22-20-18-16-14-12-10-8-6-4-2/h23-24,27-28H,3-22,25-26,29-30H2,1-2H3"
